image,source
000001.jpg,https://www.cayennediane.com/wp-content/uploads/7-Pot-Douglah.jpg
000002.jpg,https://images-na.ssl-images-amazon.com/images/I/41vKhXlhfGL.jpg
000003.jpg,https://images-na.ssl-images-amazon.com/images/I/81GCkZTPizL._SX425_.jpg
000004.jpg,https://www.pepperscale.com/wp-content/uploads/2017/07/7-pot-douglah-768x432.jpg
000005.jpg,https://www.asklepios-seeds.de/pub/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/7/-/7-pot-douglah-brown.jpg
000006.jpg,https://cdn11.bigcommerce.com/s-f6cx4kq/images/stencil/1280x1280/products/121/740/7_pot_douglah_pepper_brown_and_ripe_tyler_farms__76239.1514943659.jpg?c=2&imbypass=on
000007.jpg,https://i.etsystatic.com/7824311/r/il/aaa5be/530782800/il_794xN.530782800_fje7.jpg
000008.jpg,https://pepperhead.com/wp-content/uploads/2016/12/7-Pot-Douglah-e1529503594532.jpg
000009.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2017/06/7-Pot-Douglah-Pepper.jpg
000010.jpg,https://i.ebayimg.com/images/g/7eMAAOxyyUtSb~MF/s-l300.jpg
000011.jpg,https://www.chilliseedbank.com.au/media/catalog/product/cache/image/720x560/4c3462793ba5f87d7658a49338bdb5e2/d/o/douglahchoconplant.jpg
000012.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/07/Trinidad_7_Pot_Douglah_2-600x400.jpg
000013.jpg,https://i0.wp.com/www.peppersbymail.com/wp-content/uploads/2015/02/chocolate_douglah.gif
000014.jpg,https://i.etsystatic.com/14236181/r/il/a51bbd/1349688265/il_794xN.1349688265_i4eh.jpg
000015.jpg,https://www.magicplantfarms.com/wp-content/uploads/2016/09/Trinidad-7-Pot-7-Pod-Douglah-400.jpg
000016.jpg,http://www.chileplants.com/images/chiles/7-pot-douglah-pepper-plants.jpg
