image,source
000001.jpg,https://www.seedsavers.org/site/img/seo-images/0645-aurora-pepper-organic.jpg
000002.jpg,https://i.etsystatic.com/7255623/r/il/41e077/1648694568/il_794xN.1648694568_9mvr.jpg
000003.jpg,https://images-na.ssl-images-amazon.com/images/I/61yaF%2BaVYiL._SY550_.jpg
000004.jpg,https://www.reinsaat.at/shop/Bibliothek/medial_lib/product_imgs/Pa46_600.jpg
000005.jpg,https://www.pepperscale.com/wp-content/uploads/2017/08/aurora-pepper-768x552.jpg
000006.jpg,https://images-na.ssl-images-amazon.com/images/I/61fwdlV-zNL.jpg
000007.jpg,https://i.ebayimg.com/images/g/jCIAAOxyRhBS9j7g/s-l300.jpg
000008.jpg,https://cdn.shopify.com/s/files/1/0955/4450/products/Aurora1_1024x1024.jpg?v=1550752236
000009.jpg,https://i.ytimg.com/vi/qoR5k_f9RSA/maxresdefault.jpg
000010.jpg,https://www.chili-shop24.com/media/image/ed/af/1c/9178_Aurora_600x600.jpg
000011.jpg,https://www.chileplants.com/images/chiles/aurora-pepper-plants.jpg
000012.jpg,https://pepperheadsforlife.com/wp-content/uploads/2015/02/aurora-pepper-scoville.jpg
000013.jpg,https://i.ebayimg.com/images/g/ZMkAAOSwxThdQqTA/s-l640.jpg
000014.jpg,https://static.artfire.com/uploads/mfs/items/a3/76/large/a376529ff98bfca79ac47f4a9de98442c25fa5f5dfdfc08bbb1064b55673c6ed.jpg
000015.jpg,https://biokiskert.hu/wp-content/uploads/2018/12/aurora5-600x655.jpg
000016.jpg,https://www.seeds-gallery.shop/6158-large_default/aurora-chili-seeds.jpg
000017.jpg,https://cdn.shopify.com/s/files/1/0043/4900/1839/products/Pepper-Aurora_300x300.jpg?v=1536619379
000018.jpg,https://images-na.ssl-images-amazon.com/images/I/71HgNB1U9dL._SX425_.jpg
000019.jpg,https://www.picclickimg.com/d/l400/pict/392352977729_/Aurora-Chilli-Chili-Chile-Hot-Pepper-Seeds.jpg
000020.jpg,https://i.pinimg.com/originals/c1/2b/a1/c12ba1b7188288d70dfe39f878171119.jpg
000021.jpg,https://i.ytimg.com/vi/Rs61GdS1MO8/maxresdefault.jpg
000022.jpg,https://i.etsystatic.com/12356882/r/il/454f13/1257910242/il_570xN.1257910242_k4kj.jpg
000023.jpg,https://www.ilikeithot.eu/wp-content/uploads/2018/05/aurora-11.jpg
000024.jpg,https://plants.tagawagardens.com/Content/Images/Photos/F781-22.jpg
000025.jpg,http://i.imgur.com/HAABSRr.jpg
000026.jpg,https://t7-live-fsmn.nyc3.cdn.digitaloceanspaces.com/friendsschoolplantsale.com/files/images/variety/v-aurora_pepper-pepperseeds.eu_.jpg
000027.jpg,https://www.thespruce.com/thmb/B2iVtnc4sWOOuzEBsgG6yhaimgs=/2127x1409/filters:fill(auto,1)/GettyImages-616881430-5c673576c9e77c00011a2953.jpg
000028.jpg,https://dam.farmjournal.com/m/19a69253509441b3/webimage-49A2ABC3-7787-4369-AA23067586E88119.png
000029.jpg,https://pics.davesgarden.com/pics/2007/07/27/jenhillphoto/66114d.jpg
000030.jpg,https://static.wixstatic.com/media/d45f52_b891f75c12de44e0bf80bae3da7b7983~mv2.jpg/v1/fill/w_480,h_270,al_c,q_85,usm_0.66_1.00_0.01/d45f52_b891f75c12de44e0bf80bae3da7b7983~mv2.jpg
000031.jpg,https://www.pure-flavor.com/wp-content/uploads/AuroraBites-Mobile-640x444.png
000032.jpg,https://www.chili-shop24.com/media/image/c9/55/fa/9180_Bali-Lombok_600x600.jpg
000033.jpg,https://www.pure-flavor.com/wp-content/uploads/AuroraBites-Left.png
000034.jpg,http://greenbarngardens.com/sitebuildercontent/sitebuilderpictures/GBGaurora1.jpg
000035.jpg,https://images.offerup.com/ef013z6hVF3qzMwi4WBRHWEotdM=/600x800/928a/928ad4d1eb0347cd9f0824cc37e2b31e.jpg
000036.jpg,http://plants.tagawagardens.com/Content/Images/Photos/H295-22.jpg
000037.jpg,https://i.pinimg.com/236x/d6/6a/49/d66a49049110ce31caa0c8cb1dc976c3--pepper-plants-autumn-flowers.jpg?nii=t
000038.jpg,https://www.chillihead.co.za/image/cache/data/aurora-500x500.jpg
000039.jpg,https://blastedgoat.files.wordpress.com/2013/04/aurorafirstflowerscollagecolorized.jpg
000040.jpg,https://c8.alamy.com/comp/X31CD9/ornamental-pepper-aurora-capsicum-frutescens-national-arboretum-washington-dc-X31CD9.jpg
000041.jpg,https://i.ytimg.com/vi/o1DfbAWTA_8/maxresdefault.jpg
000042.jpg,https://static.wixstatic.com/media/d45f52_edd3507ca8a3404f86682346c3d7f926~mv2.jpg/v1/fill/w_646,h_362,al_c,q_90/d45f52_edd3507ca8a3404f86682346c3d7f926~mv2.webp
000043.jpg,https://www.ilikeithot.eu/wp-content/uploads/2018/08/Aurora-VolimLjuto-300x300.jpg
000044.jpg,https://biokiskert.hu/wp-content/uploads/2018/12/aurora2-600x800.jpg
000045.jpg,https://i.ebayimg.com/images/g/GIIAAOSw0Nlbk-n3/s-l300.jpg
000046.jpg,https://www.picclickimg.com/d/l400/pict/392192953084_/Aurora-Chilli-Chili-Hot-Pepper-Seeds-Rare.jpg
000047.jpg,https://images-na.ssl-images-amazon.com/images/I/51Q1kA6trxL._SX425_.jpg
000048.jpg,http://plants.thegrowingplace.com/Content/Images/Photos/F782-01.jpg
000049.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/ac_oYfSh2_IgDaZVvuzIng/ls.jpg
000050.jpg,https://http2.mlstatic.com/semillas-de-chile-aurora-pepper-D_NQ_NP_924525-MLM25451161293_032017-F.jpg
000051.jpg,https://cdn.shopify.com/s/files/1/0955/4450/products/fish3_large.jpg?v=1478527327
000052.jpg,https://d1muel3dr7lyq3.cloudfront.net/base/article-main-images/WTF_pureflavor_April2018.jpg?mx7T1i8bLLKRYZtBGWWKIOpzJz0RwMyj
000053.jpg,https://scontent-frx5-1.cdninstagram.com/vp/b2ae7d033d58f4fc92688f32cf10594f/5DD69C2C/t51.2885-15/sh0.08/e35/p640x640/66290380_2406037876159911_3753186335929384156_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com
000054.jpg,https://i5.walmartimages.ca/images/Enlarge/011/403/999999-061659011403.jpg
000055.jpg,https://cdn1.bigcommerce.com/server700/5mvrqhbm/products/2199/images/150320/aurora-pepper__15382.1522257989.1280.1280.jpg?c=2
000056.jpg,https://www.pure-flavor.com/wp-content/uploads/AuroraBitesMiniSweetPeppers_2lbBag.png
000057.jpg,https://www.producebluebook.com/wp-content/uploads/2019/06/pure-flavor-award-web.png
000058.jpg,https://c8.alamy.com/comp/BXN4A4/ornamental-pepper-aurora-capsicum-frutescens-national-arboretum-washington-BXN4A4.jpg
000059.jpg,https://cdn.shopify.com/s/files/1/1022/5071/products/aurora-pepper-seeds-capsicum-annuum-ornamental-peppers-edible-4_1024x1024.jpg?v=1565027042
000060.jpg,http://aurorasatler.com/wp-content/uploads/2019/03/cumin-beef-stir-fry-1100x1351.jpg
000061.jpg,https://cucinaaurora.com/wp-content/uploads/2015/04/NEWLABEL_Closeup_HP_2018.jpg
000062.jpg,https://www.seedsavers.org/site/img/sca/Icons/Start-Indoors.jpg
