image,source
000001.jpg,http://www.gimmesomeoven.com/wp-content/uploads/2017/09/How-To-Cut-Bell-Peppers-Tutorial-1.jpg
000002.jpg,https://images-na.ssl-images-amazon.com/images/I/71mPpFzHR3L._SL1500_.jpg
000003.jpg,http://images.ctfassets.net/3s5io6mnxfqz/4174V7fzCumjm5XUBVkRo4/55f754c8502c3df0a2bfc27f8fa23ceb/AdobeStock_182717533.jpeg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Green-Yellow-Red-Pepper-2009.jpg
000005.jpg,https://5.imimg.com/data5/KH/OJ/MY-10247618/fresh-bell-pepper-500x500.jpg
000006.jpg,https://az836796.vo.msecnd.net/media/image/product/en/large/0000000004065.jpg
000007.jpg,https://target.scene7.com/is/image/Target/GUEST_28e240ec-dde9-4523-8d67-c3d14fdeb185?wid=488&hei=488&fmt=pjpeg
000008.jpg,https://www.thespruceeats.com/thmb/eFyjZT5rxTDF3j3GD2undTytLjk=/3000x3000/smart/filters:no_upscale()/garlic-herb-sauteed-bell-pepper-recipe-102112-hero-01-5be21874c9e77c0051eed106.jpg
000009.jpg,https://target.scene7.com/is/image/Target/GUEST_7c2f5da1-86b0-41c7-83a5-a21359f82e6e?wid=488&hei=488&fmt=pjpeg
000010.jpg,https://edge.bonnieplants.com/www/uploads/20180920004027/big-bertha-bell-pepper.jpg
000011.jpg,https://edge.bonnieplants.com/www/uploads/20180920004011/red-bell-pepper.jpg
000012.jpg,https://images-na.ssl-images-amazon.com/images/I/81sZof2MhgL._SL1500_.jpg
000013.jpg,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_91e6ebd6-fb26-4320-bc37-2003de8b54ce.jpg
000014.jpg,https://cdn.britannica.com/12/147312-050-BEC6A59E/Bell-peppers.jpg
000015.jpg,https://ui.assets-asda.com/dm/asdagroceries/0000000033008_T1?defaultImage=asdagroceries/noImageAvailable&resMode=sharp2&id=ei0SX2&fmt=jpg&fit=constrain,1&wid=280&hei=280
000016.jpg,https://hips.hearstapps.com/del.h-cdn.co/assets/18/09/1519864109-delish-bell-pepper-meatball-subs-still003.jpg
000017.jpg,https://prods3.imgix.net/images/articles/2017_07/nonfeatured-difference-bell-peppers.jpg?auto=format%2Ccompress&dpr=2.63&ixjsv=2.2.3&q=38&w=370
000018.jpg,https://s3.amazonaws.com/cdn.gardensalive.com/images/800/64562A.jpg
000019.jpg,https://images.unsplash.com/photo-1525607551316-4a8e16d1f9ba?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&w=1000&q=80
000020.jpg,https://i5.walmartimages.ca/images/Enlarge/046/887/999999-57836046887.jpg
000021.jpg,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/f15fba43ded948dc816f3475d479fd1e/BFV30518_HealthierHalloweenTreatsForKids_FB-Upload.jpg
000022.jpg,https://cdn.shopify.com/s/files/1/0156/0137/products/red-sweet-pepper-1280x960.jpg?v=1553184254
000023.jpg,https://www.levarht.com/wp-content/uploads/2018/05/2-Bell-pepper-800x533.png
000024.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/cubanellepeppers_1024x1024.jpg?v=1544035582
000025.jpg,https://www.dinneratthezoo.com/wp-content/uploads/2019/06/stuffed-bell-peppers-4.jpg
000026.jpg,https://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/image_nodes/bell-peppers-assorted-crop.jpg?itok=fchiyU7L
000027.jpg,https://www.allmychefs.com/images/1013/370-274/ffffff/fotolia_52283514_subscription_xl-copy.jpg?poix=50&poiy=50
000028.jpg,https://paramountseeds.com/wp-content/uploads/2014/07/Bachata_RZ.jpg
000029.jpg,https://i5.walmartimages.com/asr/f9eb0b85-a672-4d3c-9646-b83a4a675d98_1.f3f235f3bca9274f66b4f589647c50d3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000030.jpg,https://www.thespruceeats.com/thmb/UXEQ2D6wEPKC9MyyTU-sk5Rcpx8=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Peppers-Sweet-Mix-579bb8773df78c3276657310.jpg
000031.jpg,https://images.eatthismuch.com/site_media/img/2440_ldementhon_44277b22-2283-4d3d-941d-1427d3269120.jpg
000032.jpg,https://media1.s-nbcnews.com/j/newscms/2018_38/1369341/red-yellow-green-peppers-today-main-180920_e3ea3265df49f69d6cde626a30bf75b2.fit-760w.jpg
000033.jpg,https://edge.bonnieplants.com/www/uploads/20180920003213/Bunker-Green-Bell-Pepper.jpg
000034.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/Autumn-Bell-ISTOCK-bought-it-600-Autumn-Bell-Sweet-Pepper.jpg?v=1457057003
000035.jpg,https://www.melissas.com/v/vspfiles/photos/1370-2T.jpg
000036.jpg,https://www.louisianacookin.com/wp-content/uploads/2019/01/peppers-featured.jpg
000037.jpg,https://windsetfarms.com/wp-content/uploads/2016/10/WF_Website_Product-on-White-500x375_MAESTRO-300x225.jpg
000038.jpg,https://snaped.fns.usda.gov/sites/default/files/seasonal-produce/2018-05/bell%20peppers.jpg
000039.jpg,http://www.crystalvalleyfoods.com/wp-content/uploads/2017/05/Colored-Bell-Peppers-1.jpg
000040.jpg,https://edge.bonnieplants.com/www/uploads/20180920003945/carmen-italian-sweet-pepper.jpg
000041.jpg,https://i5.walmartimages.ca/images/Enlarge/287/775/6000191287775.jpg
000042.jpg,https://target.scene7.com/is/image/Target/GUEST_2e4ad6dd-4ca3-4634-b0b4-7c6a5982b504?wid=488&hei=488&fmt=pjpeg
000043.jpg,https://images-na.ssl-images-amazon.com/images/I/71hKfg5wNtL._SL1500_.jpg
000044.jpg,https://hips.hearstapps.com/del.h-cdn.co/assets/16/41/1476478552-delish-jackolantern-stuffed-peppers-01.jpg
000045.jpg,https://www.allmychefs.com/images/1027/370-274/ffffff/fotolia_63637324_subscription_xl-copy.jpg?poix=50&poiy=50
000046.jpg,https://i2.wp.com/www.healthfitnessrevolution.com/wp-content/uploads/2016/02/ThinkstockPhotos-478991905.jpg?fit=725%2C483&ssl=1
000047.jpg,https://s3.amazonaws.com/cdn.henryfields.com/images/800/14880A.jpg
