image,source
000001.jpg,https://cdn.shopify.com/s/files/1/0972/6282/products/aconcagua-pepper-75-days-heirloom-vegetables-pinetree-garden-seeds_217_800x.jpg?v=1542863503
000002.jpg,https://images.replacements.com/images/images1/china/S/P0000098008S0272T1.jpg
000003.jpg,https://www.seedman.com/image/bm23.jpg
000004.jpg,http://4.bp.blogspot.com/_l8-ewpJgxOI/THLRv_TYhzI/AAAAAAAADZ0/qB3WQ_1eCB8/s1600/P8220412.JPG
000005.jpg,https://www.studiofmp.com/wp-content/uploads/get130/98/calico-ornamental-pepper-capsicum-annuum-calico-in-east-lansing.jpg
000006.jpg,https://www.laurelhillgardens.com/_ccLib/image/plantstock/SQUARE-062477.jpg
000007.jpg,https://secure.fast-serve.net/Burleigh-Calico-Pepper-Pot_1000_7SAQV.jpg
000008.jpg,https://pet-uploads.adoptapet.com/9/e/c/331172966.jpg
000009.jpg,https://ssl.c.photoshelter.com/img-get2/I0000V2LOV45X8_M/fit=1000x750/Capsicum-LB1009-1762.jpg
000010.jpg,https://img.thrfun.com/img/068/070/pepper_calico_cat_m.jpg
000011.jpg,https://chairish-prod.freetls.fastly.net/image/product/sized/9e592f1a-42ae-4d7a-91e3-82e4c6a967ac/1970s-english-staffordshire-calico-blue-crownford-salt-and-pepper-set-2-pieces-2934?aspect=fit&width=640&height=640
000012.jpg,https://www.blueandwhite.com/images/products/BNCA99916F.jpg
000013.jpg,http://i2.wp.com/all-americaselections.org/wp-content/uploads/2016/10/Orn.Pepper_BlackPearl-2006-1.jpg?lb=300,300,ffffff
000014.jpg,https://aihara-company.com/uploads/large/WVVoU01HTkViM1pNTTBKeldWYzFNRmt5Um5sYVYyUXhZVmRTYkV4dFRuWmlVemx3WWxkR2JscFRPV3BaVjA1dldsTTVhMWxZVW1oTU1FNW9ZMGhPY0ZrelZuUktWRWwzV1ZjMWRXUllWblJLVkVsM1VUSkdjMkZYVG5aTVZGVjNUVWhuTVUxRVFYVmhia0p1/ornamental-pepper-plant-care/calico-ornamental-pepper.jpg
000015.jpg,http://www.acornfarms.com/mobile/images/PepperChilliChilli.jpg
000016.jpg,https://d308toqq2zpasi.cloudfront.net/images/pet_listings/cat/f/7a/38/id_6444933/245c3b/calico-tortoiseshell-cat-for-adoption_large.jpeg
000017.jpg,http://theprofessors.co/wp-content/uploads/2019/08/ornamental-peppers-ornamental-pepper-hot-pops-purple-ornamental-peppers-care-instructions-calico-ornamental-pepper-edible.jpg
000018.jpg,https://photos.bigoven.com/recipe/hero/recipe-no-image.jpg
000019.jpg,https://images.chinasearch.co.uk/9/720/99618/1x759x506.jpg
000020.jpg,http://www.simplybeautifulgardens.com/ContentImage.aspx?imgid=297
000021.jpg,https://pics.davesgarden.com/pics/2012/01/26/DaylilySLP/99e218.jpg
000022.jpg,https://farm4.staticflickr.com/3942/15684319455_c7f12bdfcb_b.jpg
000023.jpg,https://live.staticflickr.com/5172/5535385304_78d9aa98e9_b.jpg
000024.jpg,https://www.kansasroots.org/_ccLib/image/breeders/LOGO-31.jpg
000025.jpg,https://scontent-amt2-1.cdninstagram.com/vp/23f170c99ff1fd8e9a317553c16c46fc/5E149FC7/t51.2885-15/sh0.08/e35/c0.0.1080.1080a/s640x640/64324296_308648786707132_4187998424655019134_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com
000026.jpg,https://m.cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_218665_30e_01e_v2x.jpg
000027.jpg,https://i.pinimg.com/originals/c3/e3/15/c3e3151b74faa555139bfdbac995b5c4.jpg
000028.jpg,https://www.blueandwhite.com/images/products/BNCA99270F.jpg
000029.jpg,https://cdn0.rubylane.com/_pod/item/522414/ls005416/Vintage-Calico-Fruit-Salt-Pepper-Shakers-full-1A-700%3A10.10-56-f.png
000030.jpg,http://www.rotarybotanicalgardens.org/wp-content/uploads/39638274_677488959299290_7532237782270345216_n.jpg
000031.jpg,https://i.etsystatic.com/13864908/r/il/79d5f8/1763495821/il_570xN.1763495821_gern.jpg
000032.jpg,https://cdn.shopify.com/s/files/1/0008/2735/9290/products/IMG_2337_300x300.JPG?v=1542325822
000033.jpg,https://www.caaws.org/wp-content/uploads/2019/01/pepper-ann.jpg
000034.jpg,https://images1.americanlisted.com/nlarge/calico-pepper-medium-baby-female---cat-americanlisted_30480515.jpg
000035.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/98e0a62b-837c-4ab7-a477-fac09b37fe94/d8ommmq-059d2798-87d2-4a3b-aa1b-b98311eaf7a4.jpg/v1/fill/w_789,h_1013,q_70,strp/pocket_pepper_by_calico_productions_d8ommmq-pre.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTMxNCIsInBhdGgiOiJcL2ZcLzk4ZTBhNjJiLTgzN2MtNGFiNy1hNDc3LWZhYzA5YjM3ZmU5NFwvZDhvbW1tcS0wNTlkMjc5OC04N2QyLTRhM2ItYWExYi1iOTgzMTFlYWY3YTQuanBnIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.TmpIfYrM5Wih9YDfTna6LSWpzy22a8rt966QxWQ78k4
000036.jpg,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/64463192_359784404539701_3994962864207308873_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&oh=ef0b77211f634889eb7233b2ffcf7df4&oe=5DF5CF98&ig_cache_key=MjA2NjA4NDk5NzA4NTA2MTc1OQ%3D%3D.2
000037.jpg,https://fatalii.net/bobo.jpg
000038.jpg,https://pics.me.me/salt-pepper-bonded-sisters-both-io-years-old-they-11657390.png
000039.jpg,http://webviral.club/wp-content/uploads//2018/09/the-gingham-dog-and-the-calico-cat-gingham-dog-and-calico-cat-salt-and-pepper-shakers.jpg
000040.jpg,https://i.etsystatic.com/8913440/r/il/08b7c1/1802970450/il_fullxfull.1802970450_14tw.jpg
000041.jpg,http://i99.photobucket.com/albums/l295/chad_027/Mobile%20Uploads/image_zps43zuwbrg.jpg
000042.jpg,https://i.ytimg.com/vi/HrbrxYwgPqs/maxresdefault.jpg
000043.jpg,https://www.tasteofhome.com/wp-content/uploads/2018/08/shutterstock_723282880.jpg
000044.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0f/3c/b3/4b/cauliflower-parsnip-red.jpg
000045.jpg,https://i2.wp.com/www.tricaldiagnostics.com/wp-content/uploads/2018/06/PepperAMV1pp.jpg?fit=3872%2C2592&ssl=1
000046.jpg,https://socalcitykids.com/wp-content/uploads/2018/02/Pepper-February-8-Pet-of-the-Week-912x1024.jpg
000047.jpg,https://image.shutterstock.com/image-photo/dried-red-hot-chilies-brown-260nw-1161051643.jpg
