image,source
000001.jpg,https://d1nw62gticy6e9.cloudfront.net/uploads/California-Wonder-Bell-Peppers1.jpg
000002.jpg,https://images.homedepot-static.com/productImages/bce2b202-7537-42ed-b07f-e8666035bf50/svn/burpee-organic-vegetable-seeds-60520-64_1000.jpg
000003.jpg,https://d1nw62gticy6e9.cloudfront.net/uploads/California-Wonder-Bell-Peppers.jpg
000004.jpg,https://www.edenbrothers.com/store/media/Seeds-Vegetables/resized/SVPEP122-1_medium.jpg
000005.jpg,http://cdn.mr-fothergills.co.uk/product-images/op/z/11617z.jpg
000006.jpg,https://www.rareseeds.com/assets/1/14/DimRegular/Pepper-Sweet-California-Wonder-IMG_5315.jpg
000007.jpg,https://www.everwilde.com/media/1000/resized/California-Wonder-300-TMR-Sweet-Pepper-01_medium.gif
000008.jpg,https://images-na.ssl-images-amazon.com/images/I/71lJq5d2EhL._SX425_.jpg
000009.jpg,https://suttons.s3.amazonaws.com/p/VECAP11729_3.jpg
000010.jpg,http://cdn.shopify.com/s/files/1/0011/2341/8172/products/PP620-4_1024x1024.jpg?v=1523414027
000011.jpg,https://static.wixstatic.com/media/85269f_3eed19cbbfd34efead03661e486d1a46~mv2.jpg/v1/fill/w_1203,h_676,al_c,q_85/85269f_3eed19cbbfd34efead03661e486d1a46~mv2.jpg
000012.jpg,https://cdn.shopify.com/s/files/1/2954/2248/products/Pepper-California-Wonder-Vegetable-Ferry-Morse_1400x.jpg?v=1549916922
000013.jpg,http://cdn.shopify.com/s/files/1/0784/3297/products/California_Wonder_Pepper_grande.jpg?v=1454623907
000014.jpg,https://cdn.shopify.com/s/files/1/0034/1917/7060/products/pepper-california-wonder-vegetable-sow-easy-mckenzie-seeds_-_Copy_1400x.jpg?v=1553980908
000015.jpg,https://www.burpee.com/dw/image/v2/ABAQ_PRD/on/demandware.static/-/Sites-masterCatalog_Burpee/default/dw3dc4f465/Images/Product%20Images/prod000825/prod000825.jpg?sw=320&sh=378&sm=fit
000016.jpg,https://cdn.shopify.com/s/files/1/0562/4205/products/california.jpg?v=1511813628
000017.jpg,https://cdn.shopify.com/s/files/1/2918/4630/products/image_2_480d8b34-2ccb-4dbe-89ea-c392d6e7bbc6_1024x1024@2x.jpg?v=1570202423
