image,source
000001.jpg,https://cdn11.bigcommerce.com/s-9d454/images/stencil/608x608/products/5107/9715/morita-chiles-dried-whole__79840.1299860286.jpg?c=2
000002.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/chipotle-jalapeno-2-hot-pepper-pepper-joes.jpg?v=1457582508
000003.jpg,https://keviniscooking.com/wp-content/uploads/2018/10/How-to-Make-Dried-Chipotle-Chilessquare.jpg
000004.jpg,https://images-na.ssl-images-amazon.com/images/I/41mg666ByRL._SX355_.jpg
000005.jpg,https://cdn1.bigcommerce.com/server700/5mvrqhbm/products/2691/images/150453/chipotle_pepper__67165.1522258015.1280.1280.jpg?c=2
000006.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2019/08/Chipotle-Peppers.jpg
000007.jpg,https://cdn.shopify.com/s/files/1/1143/3886/products/pepper-chipotle_cdf62f26-0301-415d-8d67-f6563bf47ecd_1024x1024.jpg?v=1522432746
000008.jpg,https://images-na.ssl-images-amazon.com/images/I/81jtz0ABz0L._SL1500_.jpg
000009.jpg,https://cdn.shopify.com/s/files/1/1563/8353/products/image_af145046-47cb-49ac-b414-7653ddd0c172.jpg?v=1503521320
000010.jpg,https://www.spicejungle.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chipotle_morita_2.jpg
000011.jpg,https://www.thespruceeats.com/thmb/EqLSp5qMc_tDaXWpl3j2eO7PFxk=/2578x2578/smart/filters:no_upscale()/smokedchipotlepeppers-589e9c473df78c47588456f8.jpg
000012.jpg,https://www.pepperscale.com/wp-content/uploads/2015/06/chipotle-pepper-substitute_lg-e1433814592650-768x512.jpeg
000013.jpg,https://oldworldgardenfarms.com/wp-content/uploads/2019/09/chipotle-peppers-1.jpg
000014.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Capsicum_annuum_chipotle_dried.jpg
000015.jpg,https://www.baking-sense.com/wp-content/uploads/2016/10/chipotle-peppers-facebook.jpg
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/71Q%2Bf-y7HzL._SY879_.jpg
000017.jpg,https://www.baking-sense.com/wp-content/uploads/2016/10/chipotle-peppers-2a.jpg
000018.jpg,https://oldworldgardenfarms.com/wp-content/uploads/2019/09/jalapeno-plant-with-red-pepper.jpg
000019.jpg,https://i2.wp.com/www.holajalapeno.com/wp-content/uploads/2018/01/chipotle-Pepper-recipes.png?fit=735%2C1102&ssl=1
000020.jpg,https://target.scene7.com/is/image/Target/GUEST_dcda9bde-4332-4e35-ac2c-bf5fe2dbf3d5?wid=488&hei=488&fmt=pjpeg
000021.jpg,https://www.naturalspices.eu/media/catalog/product/cache/2/image/0fc22a7b2950bdf2e8c6dee37aaf9d9f/c/h/chipotle-peper-gemalen.jpg
000022.jpg,https://fimgs.net/mdimg/perfume/375x500.29568.jpg
000023.jpg,https://qph.fs.quoracdn.net/main-qimg-00679ab9f356dc4350d55cf56cbc78e9.webp
000024.jpg,http://www.spicesinc.com/images/product/large/4729.jpg
000025.jpg,https://digitalcontent.api.tesco.com/v1/media/ghs/snapshotimagehandler_1706728513/35701dfdbb0005d5383570f6c3cee2493f546d31a465bcfdbca193b4627d9924/00011210607040/snapshotimagehandler_1706728513.jpeg?h=540&w=540
000026.jpg,https://d7hlq31pmx5mz.cloudfront.net/wp-content/uploads/chipotle-pepper.jpg
000027.jpg,https://www.pepperscale.com/wp-content/uploads/2013/10/chipotle-pepper-1-768x513.jpeg
000028.jpg,https://sc01.alicdn.com/kf/HTB1jTgCakUmBKNjSZFOq6yb2XXad/AJI-PANCA-PEPPER-Chipotle-Peppers-Chili.jpg_350x350.jpg
000029.jpg,https://cdn.shopify.com/s/files/1/2986/7208/products/214e344198c40f618684c98e4d7e7eb7_62c8f858-ae11-40c2-830e-80d3b039f4bf.jpg?v=1530164011
000030.jpg,https://highplainsspicecompany.com/wp-content/uploads/2013/03/chipotle-powder.jpg
000031.jpg,https://www.pepperscale.com/wp-content/uploads/2013/10/what-is-chipotle-peppers-in-adobo-sauce_1-768x534.jpg
000032.jpg,https://i.ebayimg.com/images/g/pNoAAOSwLgFce7bI/s-l400.jpg
000033.jpg,http://www.chiliszoszok.hu/img/7378/145667_altpic_2/400x400/145667_altpic_2.jpg?time=1518183310
000034.jpg,https://i5.walmartimages.com/asr/80768a0f-6688-4d8c-9a6b-b398f971cd6c_1.58818ca7e3e68fde267c840844128419.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000035.jpg,https://www.maine-lydrizzle.com/v/vspfiles/photos/S08-2T.jpg
000036.jpg,https://images-na.ssl-images-amazon.com/images/I/91-jtw8%2BpaL._SY355_.jpg
000037.jpg,https://images.wisegeek.com/hot-peppers.jpg
000038.jpg,https://www.quickanddirtytips.com/sites/default/files/styles/article_main_image/public/images/17591/pronounce-chipotle.jpg?itok=5oW80JuB
000039.jpg,https://oliviaevoo.com/wp-content/uploads/2018/11/chipotle-pepper-1.jpg
000040.jpg,https://www.frontiercoop.com/media/catalog/product/cache/1/image/1600x/9df78eab33525d08d6e5fb8d27136e95/F/r/Frontier-Co-op-Bulk-Chipotle-Smoked-Jalapenos-Chilies-331_5.jpg
000041.jpg,https://www.chipotle.com/content/dam/chipotle/global-site-design/en/menu/ingredients/red-chili/panel/redchile-desktop@2x.jpg
000042.jpg,https://keviniscooking.com/wp-content/uploads/2018/10/How-to-Make-Dried-Chipotle-Chiles1.jpg
000043.jpg,https://www.theshopofgoodtaste.com/wp-content/uploads/2016/07/La-Morena-Chipotle-Peppers-in-Adobo-Sauce-_1.jpg
000044.jpg,https://d1doqjmisr497k.cloudfront.net/-/media/mccormick-us/products/grill-mates/5/800/5210096842.png?vd=20180710T014352Z&hash=E68C80B116D6357C9FA24F717F09E363E4665C11
000045.jpg,http://clipart-library.com/data_images/412720.jpg
000046.jpg,https://insearchofyummyness.com/wp-content/uploads/2017/09/Chipotle-Peppers.jpg
000047.jpg,http://www.magicplantshop.com/images/watermarked/1/detailed/1/Chipotle-Flake-2.jpg
000048.jpg,http://thewildgut.com/wp-content/uploads/2017/08/Fermented-Chipotle-Pepper-Hot-Sauce-1-683x1024.png
000049.jpg,https://breadandtortillas.files.wordpress.com/2015/01/dsc_0627.jpg
000050.jpg,https://www.organicauthority.com/wp-content/uploads/2012/03/chipotles-ccflcr-Lori_NY.jpg
000051.jpg,https://silva-intl.com/uploads/products/chipotle-pepper/_884x884_crop_center-center_100/Chipotle-Pepper-Application.jpg
000052.jpg,https://www.frontiercoop.com/media/catalog/product/cache/1/image/1600x/9df78eab33525d08d6e5fb8d27136e95/F/r/Frontier-Co-op-Bottled-Chipotle-Cround-19525-Front_5.jpg
000053.jpg,https://static.wixstatic.com/media/d45f52_27ff01f0e84a45dd9f7861b80b3750d9~mv2_d_4672_2628_s_4_2.jpg/v1/crop/x_360,y_0,w_3105,h_2628/fill/w_560,h_474,al_c,q_90/d45f52_27ff01f0e84a45dd9f7861b80b3750d9~mv2_d_4672_2628_s_4_2.webp
