image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/61xAUlvyhBL._SL1500_.jpg
000002.jpg,http://cdn.shopify.com/s/files/1/2550/8730/products/Pepper_Hot_Early-Jalapeno-1_CK_logo_1200x630.jpg?v=1551118959
000003.jpg,https://edge.bonnieplants.com/www/uploads/20180920003952/mammoth-jalapeno-hot-pepper.jpg
000004.jpg,https://cdn.shopify.com/s/files/1/1143/3886/products/pepper-jalapeno_7dc15c16-6b00-45f9-9cad-b7dfdecb3c24_1024x1024.jpg?v=1522431847
000005.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/jalmundopepperpic_1024x1024.jpg?v=1548196302
000006.jpg,https://edge.bonnieplants.com/www/uploads/20180920003953/jalapeno-hot-pepper.jpg
000007.jpg,https://www.pepperscale.com/wp-content/uploads/2013/06/jalapeno-pepper-1-768x432.jpg
000008.jpg,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/jalapeno-peppers-1296x728.jpg?w=1155&h=1528
000009.jpg,https://www.simplyrecipes.com/wp-content/uploads/2009/07/jalapeno-hotness-horiz-a-1800.jpg
000010.jpg,https://images-na.ssl-images-amazon.com/images/I/51HCXzp9RtL._SY355_.jpg
000011.jpg,http://cdn.shopify.com/s/files/1/1537/5553/products/00655_b39a1a30-f8b1-4e5a-9957-c43a86f36e2d_grande.jpg?v=1486441022
000012.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2018/10/Jalapeno-Peppers1.jpg
000013.jpg,https://www.americanseedco.com/wp-content/uploads/2013/07/Peppers-Jalapeno.jpg
000014.jpg,http://www.southernexposure.com/images/large/hot-pepper-jalapeno_LRG.jpg
000015.jpg,https://i.ebayimg.com/images/g/9wIAAMXQWHZR5DIk/s-l300.jpg
000016.jpg,https://www.pepperscale.com/wp-content/uploads/2015/08/Anaheim-Pepper-vs-Jalapeno-Pepper-768x594.jpg
000017.jpg,https://d1nw62gticy6e9.cloudfront.net/uploads/Early-Jalapeno-Pepper-Seeds.jpg
000018.jpg,https://www.displayfakefoods.com/store/pc/catalog/9405E-lg.jpg
000019.jpg,https://www.friedas.com/wp-content/uploads/2012/03/Friedas_Peppers_Jalapenos.jpg
000020.jpg,https://cdn.apartmenttherapy.info/image/upload/v1560538281/k/Photo/Recipes/2019-07-recipe-31-days-of-vegetables/Veg-a-Day_jalepen%CC%83os-038.jpg
000021.jpg,https://i5.walmartimages.com/asr/1e6c200b-32df-46ae-8649-7c0f8cd5a15e_1.9e963a28ffbc08b8b1bea7abef860020.jpeg
000022.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2018/10/Jalapeno-Peppers3.jpg
000023.jpg,https://www.bbcgoodfood.com/sites/default/files/glossary/jalapenos.jpg
000024.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/Chipotle-jalapeno-hot-pepper-pepper-joes.jpg?v=1457582508
000025.jpg,https://img-aws.ehowcdn.com/350x235p/photos.demandstudios.com/getty/article/117/208/87714824_XS.jpg
000026.jpg,https://5.imimg.com/data5/WW/OQ/MY-1812882/jalapeno-pepper-slice-250x250.jpg
000027.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/giant-jalapeno-plant-hot-pepper-pepper-joes.jpg?v=1462326376
000028.jpg,https://edge.bonnieplants.com/www/uploads/20180920003948/mild-jalapeno-pepper.jpg
000029.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/09/chilesBrownJalapeno9-2018-600x450.jpg
000030.jpg,https://previews.123rf.com/images/annete/annete1302/annete130200153/18057431-green-jalapeno-pepper-isolated-on-white.jpg
000031.jpg,https://www.highmowingseeds.com/media/catalog/product/cache/f24fe076cc2f73119e7261920a5836c5/2/7/2773.jpg
000032.jpg,https://www.melissas.com/v/vspfiles/photos/708-2T.jpg
000033.jpg,https://mobileimages.lowes.com/product/converted/715339/715339011374.jpg?size=xl
000034.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/04/Early-Jalapeno-Pepper-Seeds.jpg
000035.jpg,https://www.aerogarden.com/media/catalog/product/optimized/8/1/816a9cf947cc4e65bbdbaa05ee427748/jalapeno_6pod_comp_800.1560199954.jpg
