image,source
000001.jpg,https://www.pepperscale.com/wp-content/uploads/2013/07/malagueta-pepper-768x577.jpeg
000002.jpg,https://static.artfire.com/uploads/mfs/items/b7/05/large/b70599abfcc5da03c26faa8c1bdb95a84a83b0af7b12726c298ab2bb63ca452c.jpg
000003.jpg,https://images-na.ssl-images-amazon.com/images/I/61j5Hl%2BgmiL._SX466_.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Sayaca_Tanager_feeding_on_malagueta_peppers.jpg
000005.jpg,https://i.etsystatic.com/7824311/r/il/e64814/523114608/il_794xN.523114608_mjrn.jpg
000006.jpg,https://worldcrops.org/sites/worldcrops.org/files/styles/crop_lead_image/public/crops/DSCN1022.jpg?itok=2neyAs2t&c=b2da28465bdff5ac1ab4d0d6814a6017
000007.jpg,https://www.magicplantfarms.com/wp-content/uploads/2017/01/Malagueta-Pepper.jpg
000008.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2019/09/Malagueta-Peppers.jpg
000009.jpg,https://www.magicgardenseeds.com/pics/mgs/1238/1000/Malagueta-Pepper-(Capsicum-frutescens).jpg
000010.jpg,https://worldcrops.org/sites/worldcrops.org/files/crops/DSCN1022.jpg
000011.jpg,https://images-na.ssl-images-amazon.com/images/I/61IfyooRo8L._SX425_.jpg
000012.jpg,https://www.amazingfoodmadeeasy.com/peppers/pepper_images/malag-bowl.jpg
000013.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/Pepper-Joes-3943_54f2f66d-2467-4249-9ff2-f55e86e08fa4.jpg?v=1476890343
000014.jpg,https://worldcrops.org/sites/worldcrops.org/files/crops/DSCN1013.jpg
000015.jpg,https://sc02.alicdn.com/kf/HTB1LWXGKVXXXXa1XpXXq6xXFXXXn/Malagueta-Pepper-Seeds.jpg
000016.jpg,https://m.media-amazon.com/images/S/aplus-seller-content-images-us-east-1/ATVPDKIKX0DER/A2UWPV9RGR1LSN/37b8f40a-8089-4bd5-8457-f23bb5954cf2.__CR0,324,1000,309_PT0_SX970_V1___.jpg
000017.jpg,https://www.sciencenewsforstudents.org/sites/default/files/2016/05/main/articles/header-860-Red_Peppers.jpg
000018.jpg,https://sc01.alicdn.com/kf/HTB1MSckKpXXXXX4XFXXq6xXFXXXO/Red-Malagueta-Pepper-35g.jpg_350x350.jpg
000019.jpg,https://tasteofbrazilkc.com/wp-content/uploads/2017/12/Malagueta-pepper-500.png
000020.jpg,https://cdn0.wideopeneats.com/wp-content/uploads/2017/09/worlds-hottest-peppers-720x405.png
000021.jpg,https://c8.alamy.com/comp/BE1H36/capsicum-chinense-en-brazilian-malagueta-hot-pepper-fr-piment-brazilian-BE1H36.jpg
000022.jpg,https://www.giollo.com.br/ebay/imagens/pimenta%20vidros.jpg
000023.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2018/06/A-Guide-to-Growing-Chili-Peppers.jpg
000024.jpg,https://images.homedepot-static.com/productImages/83dc9e19-e57d-4b2f-81cb-c15e3aa4e4ec/svn/bonnie-plants-vegetable-plants-3300-64_1000.jpg
000025.jpg,https://get.pxhere.com/photo/agriculture-background-bright-cayenne-chili-chilli-chilly-closeup-color-cook-cooking-cuisine-eating-food-fresh-freshness-green-health-healthy-heat-hot-ingredient-isolated-market-mexican-nature-nutrition-organic-paprika-pepper-peppers-plant-raw-red-ripe-seasoning-spice-spicy-vegetable-vegetables-vegetarian-water-natural-foods-chili-pepper-malagueta-pepper-serrano-pepper-bird's-eye-chili-peperoncini-tabasco-pepper-local-food-chile-de-rbol-pimiento-cayenne-pepper-bell-peppers-and-chili-peppers-italian-sweet-pepper-jalapeno-vegan-nutrition-pasilla-poblano-flowering-plant-piquillo-pepper-capsicum-habanero-chili-produce-nightshade-family-fruit-vegetarian-food-legume-whole-food-Long-pepper-1595871.jpg
