image,source
000001.jpg,https://q7i2y6d5.stackpathcdn.com/wp-content/uploads/2018/03/mulato-peppers-1-400x266.jpg
000002.jpg,https://www.ukchilliseeds.co.uk/ekmps/shops/chilliwizard/images/mulato-isleno-chilli-pepper-seeds-x-10-460-p.jpg
000003.jpg,https://www.spicesinc.com/images/product/large/1647.jpg
000004.jpg,https://images-na.ssl-images-amazon.com/images/I/71wZnrB7DVL._SL1500_.jpg
000005.jpg,https://vignette.wikia.nocookie.net/chilipeps/images/0/01/Mulato_peppers.jpg/revision/latest?cb=20180108014257
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Mulato_chile_pods_%28dried%29.JPG
000007.jpg,https://images-na.ssl-images-amazon.com/images/I/7143p4l0ATL._SX342_.jpg
000008.jpg,https://www.neseed.com/wp-content/uploads/2016/08/32077-Mulato-Isleno-Hot-Pepper.jpg
000009.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/MulatoIslenopic_1024x1024.jpg?v=1548800712
000010.jpg,https://cdn10.bigcommerce.com/s-2drwt2az/products/4537/images/48272/mulato_island__79185.1493258203.500.659.jpg?c=2
000011.jpg,https://i1.wp.com/bestmexicancookbook2015.files.wordpress.com/2015/03/sil_chili_mulato1.jpg?zoom=1.25&w=900&ssl=1
000012.jpg,https://www.savoryspiceshop.com/content/mercury_modules/cart/items/2/7/4/2749/ratio6x5-600.jpg
000013.jpg,https://www.magicgardenseeds.co.uk/pics/mgs/CAP02/1000/Poblano-Mulato-chili-pepper-(Capsicum-annuum).jpg
000014.jpg,https://www.spicejungle.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/d/r/dried_mulato_chiles_2_2.jpg
000015.jpg,http://cdn.shopify.com/s/files/1/0148/1945/9126/products/ATIMiHUjwp16o3xLX-aXn94dO6MckvDwTdrq4qzKLDa8eSYA1glNLJM_GBlUg09aW5cR-0VXszk_w615-h615_1200x1200.png?v=1568397345
000016.jpg,https://www.diversivore.com/wp-content/uploads/2016/06/Mulato-Chilies-feature.jpg
000017.jpg,https://www.premierseedsdirect.com/wp-content/uploads/2017/02/pepper-mulato-isleno.jpg
000018.jpg,https://images-na.ssl-images-amazon.com/images/I/71xkSaiP6YL._SX425_.jpg
000019.jpg,https://previews.123rf.com/images/maxsol7/maxsol71805/maxsol7180500031/101997227-dried-mexican-chile-peppers-pasilla-ancho-mulato-chipotle-morita-whole-pods.jpg
000020.jpg,http://croatianseeds-store.com/images/stories/virtuemart/product/mulato2.jpg
000021.jpg,https://www.edenbrothers.com/store/media/Seeds-Vegetables/resized/SVPEP136-1_medium.jpg
000022.jpg,https://www.mexicoinmykitchen.com/wp-content/uploads/2017/11/Mulato-pepper-1a.jpg
000023.jpg,https://www.seeds-gallery.shop/1429-home_default/ancho-mulato-poblano-chili-seeds.jpg
000024.jpg,https://shop.westlandpeppers.com/wp-content/uploads/2017/07/gedroogde_mulato_westlandpeppers-2.jpg
000025.jpg,https://i.ebayimg.com/images/g/w~AAAOxy0NtTE0bG/s-l300.jpg
000026.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2019/09/Temp-Pepper-Types.jpg
000027.jpg,https://spicespecialist.com/spice/wp-content/uploads/chile-mulato-peppers-dried-e1486844781846.jpg
000028.jpg,https://www.chileplants.com/images/chiles/ancho-mulato-pepper-plants.jpg
000029.jpg,https://previews.123rf.com/images/cokemomo/cokemomo1210/cokemomo121000019/15686757-chile-mulato-mexican-dried-chili-pepper.jpg
000030.jpg,https://chilli-seedz.com/wp-content/uploads/2018/09/Mulato-Islano-Hand.jpg
