image,source
000001.jpg,https://www.cayennediane.com/wp-content/uploads/Serrano.jpg
000002.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2013/09/Serrano-Peppers1.jpg
000003.jpg,https://www.melissas.com/v/vspfiles/photos/1195-2T.jpg
000004.jpg,https://d1nw62gticy6e9.cloudfront.net/uploads/Serrano-Pepper-Seeds.jpg
000005.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/serrano1.jpg?v=1478638959
000006.jpg,https://www.thespruceeats.com/thmb/vaN7uC_4fsoNBs7PIfXZ2gv067o=/1500x1000/filters:fill(auto,1)/GettyImages-930279012-e1d17f3f2e14473db877437ce57b8f5f.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Starr_070730-7846_Capsicum_annuum.jpg/220px-Starr_070730-7846_Capsicum_annuum.jpg
000008.jpg,https://cdn.shopify.com/s/files/1/0242/9205/products/serrano_crate2_960x.png?v=1464400283
000009.jpg,https://edge.bonnieplants.com/www/uploads/20180920004006/serrano-hot-pepper.jpg
000010.jpg,https://www.pepperscale.com/wp-content/uploads/2014/05/serrano-vs-jalapeno-768x540.jpg
000011.jpg,https://s.yimg.com/aah/mex-grocer/fresh-chile-serrano-peppers-chiles-serranos-frescos-16.png
000012.jpg,https://www.mexicanplease.com/wp-content/uploads/2015/10/fresh-chili-peppers-with-scoville-rating.jpg
000013.jpg,https://cdn.shopify.com/s/files/1/0011/2341/8172/products/PP636_Sureno_IMG_2999_480x480.jpg?v=1523414065
000014.jpg,https://cdn.shopify.com/s/files/1/0972/6282/products/serrano-hot-pepper-heirloom-75-days-vegetables-pinetree-garden-seeds_482.jpg?v=1546949064
000015.jpg,https://target.scene7.com/is/image/Target/GUEST_50a530b5-d91e-40a5-b390-9fbc08a890ff?wid=488&hei=488&fmt=pjpeg
000016.jpg,https://i1.wp.com/victorygardeners.com/wp-content/uploads/2017/03/Serrano-Pepper.jpg?fit=700%2C480&ssl=1
000017.jpg,http://cdn.shopify.com/s/files/1/0554/6977/products/ss_5d6ec73d-c5d1-4685-b716-d786f2be0c21_grande.jpeg?v=1440436916
000018.jpg,http://www.southernexposure.com/images/large/hot-pepper-serrano-tampiqueno_LRG.jpg
000019.jpg,https://www.rareseeds.com/assets/1/14/DimRegular/Pepper-Hot-Serrano-IMG_5131.jpg
000020.jpg,https://s3.amazonaws.com/secretsaucefiles/photos/images/000/147/593/large/peppers_-_denise_uy.jpg?1489082037
000021.jpg,https://www.growjoy.com/store/pc/catalog/serrano_hot_pepper_plant_1517_detail.jpg
000022.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Serranochilis.jpg
000023.jpg,https://chilifarm.hu/wp-content/uploads/2019/06/serrano-chili-paprika.jpg
000024.jpg,https://thehippyseedcompany.com/wp-content/uploads/2017/06/Serrano-web.jpg
000025.jpg,https://i2.wp.com/www.gardeningchannel.com/wp-content/uploads/2018/08/Untitled-design-32.jpg?resize=600%2C314&ssl=1
000026.jpg,https://www.everwilde.com/media/1000/resized/Serrano-Hot-Pepper_medium.gif
000027.jpg,http://www.specialtyproduce.com/sppics/941.png
000028.jpg,https://images-na.ssl-images-amazon.com/images/I/41SEVJjY7fL._SX425_.jpg
000029.jpg,https://www.wegmans.com/content/dam/wegmans/products/820/5820.jpg
000030.jpg,https://cdn.davidwolfe.com/wp-content/uploads/2018/02/serrano-pepper-benefits-FI.jpg
000031.jpg,http://www.produceoasis.com/Uploads/serrano-chili.jpg
000032.jpg,https://images.homedepot-static.com/productImages/2d6a9cca-5215-41e9-bacb-6fe9631ef1da/svn/ferry-morse-vegetable-herb-seeds-2053-64_1000.jpg
000033.jpg,https://www.pepperscale.com/wp-content/uploads/2015/03/serrano-pepper-substitute-1-768x512.jpg
000034.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/09/ChilesHidalgo7-2018.jpg
000035.jpg,https://www.aforkstale.com/wp-content/uploads/2018/08/IMG_0060.jpg
000036.jpg,https://i.ebayimg.com/images/g/f2sAAOSwq9RbrSF7/s-l300.jpg
000037.jpg,https://mexicanfoodjournal.com/wp-content/uploads/2014/06/Serrano-Chiles.jpg
000038.jpg,https://cdn.shopify.com/s/files/1/1985/8415/products/Fresh_Hot_Pepper_1400x.jpg?v=1561854687
000039.jpg,http://cdn.shopify.com/s/files/1/0011/2341/8172/products/PP636_Sureno_IMG_2998_1024x1024.jpg?v=1523414065
000040.jpg,https://smallaxepeppers.com/wp-content/uploads/2019/04/Screen-Shot-2019-04-25-at-6.07.27-PM-1024x418.png
000041.jpg,https://previews.123rf.com/images/mblach/mblach1204/mblach120400295/13208731-serrano-pepper-isolated-on-white.jpg
000042.jpg,https://www.botanicalinterests.com/images/popup/0085i_Pepper-Chile-Serrano-Tam.jpg
000043.jpg,http://cdn.shopify.com/s/files/1/2606/5796/products/serranojoya_1200x1200.jpg?v=1512692870
000044.jpg,https://www.starnursery.com/wp-content/uploads/2018/09/serranoPepper1.jpg
000045.jpg,https://www.victoriananursery.co.uk/images/800/sq_chilli_pepper_serrano_002.jpg
000046.jpg,https://www.edenbrothers.com/store/media/Seeds-Vegetables/resized/SVPEP141-2_medium.jpg
000047.jpg,https://all-americaselections.org/wp-content/uploads/2016/09/Pepper_FlamingJade-AAS2016-4.jpg
000048.jpg,https://plantinstructions.com/wp-content/uploads/2019/01/red-serrano-peppers-1024x682.jpg
000049.jpg,https://www.theproducemoms.com/wp-content/uploads/2019/02/serrano-pepper-pesto.jpg
000050.jpg,https://cdn.shopify.com/s/files/1/0972/6282/products/serrano-hot-pepper-heirloom-75-days-vegetables-pinetree-garden-seeds_251_2000x.jpg?v=1546949064
000051.jpg,https://inmamamaggieskitchen.com/wp-content/uploads/2018/03/Serrano-Peppers.jpg
000052.jpg,https://www.harvesttotable.com/wp-content/uploads/2013/03/Hot-Peppers-Jalapeno-Thai-Serrano-Habanero-ScotchBonnet.jpg
000053.jpg,https://www.spicesinc.com/images/product/large/823.jpg
000054.jpg,https://portalvhds26k4f5tktj3ck.blob.core.windows.net/spotpics/sp43645.jpg
000055.jpg,https://gingerhaze.com/wp-content/uploads/2019/10/serrano-peppers.jpg
000056.jpg,https://image.businessinsider.com/5b6b4a127708e90e16472cd5?width=1100&format=jpeg&auto=webp
000057.jpg,https://www.magicgardenseeds.com/pics/mgs/CAP07/1000/Serrano-pepper-(Capsicum-anuum).jpg
000058.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.realsimple.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Frs_medium_image%2Fpublic%2Fchili-peppers_0.jpg%3Fitok%3D-HW_bg0M&q=85
000059.jpg,https://suttons.s3.amazonaws.com/p/VECHI31423_3.jpg
000060.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/tampiqueno_3.jpg?v=1477496183
000061.jpg,https://www.healthbenefitstimes.com/9/uploads/2016/08/Serrano-pepper-Capsicum-anuum.jpg
000062.jpg,https://draxe.com/wp-content/uploads/2017/01/SerranoPepperHeader.jpg
000063.jpg,https://dish-environment-prod-contentbucket-10u8bszryovz3.s3.amazonaws.com/assets/s3fs-public/styles/content_image_medium/public/102372630_L-to-R-banana-jalapeno-habanero-Thai-chile-serrano-poblano-Fresno-and-Anaheim-peppers-Photo-by-Meredith.jpg?itok=Yt4tLpx3
