image,source
000001.jpg,https://strictlymedicinalseeds.com/wp-content/uploads/2017/07/Pepper_Aji_Colorado.jpg
000002.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/09/ChilesAjiColorado6-2018.jpg
000003.jpg,https://www.chili-shop24.com/media/image/63/2c/a3/9226_Aji-Colorado_600x600.jpg
000004.jpg,http://www.specialtyproduce.com/sppics/15171.png
000005.jpg,https://www.pepperscale.com/wp-content/uploads/2017/12/aji-colorado_2-768x512.jpeg
000006.jpg,https://images-na.ssl-images-amazon.com/images/I/61ha3T0krLL._SY550_.jpg
000007.jpg,https://images-na.ssl-images-amazon.com/images/I/81tMgICDdwL._SL1500_.jpg
000008.jpg,https://www.gardenhoard.com/media/catalog/product/cache/1/image/363x/040ec09b1e35df139433887a97daa66f/2/0/20180912_102239_1.jpg
000009.jpg,https://cdn.thehippyseedcompany.com/wp-content/uploads/2017/06/Aji-Colorado-Orange-28.jpg
000010.jpg,http://4.bp.blogspot.com/-A0tHs1Gm6Rc/ToSnRZsOgDI/AAAAAAAAAH4/yHEVRQodXRI/s1600/Aji+Panca+en+pasta_jpg.jpg
000011.jpg,https://cdn1.bigcommerce.com/server700/5mvrqhbm/products/2546/images/147459/aji-colorado-pepper__07435.1501738445.1280.1280.jpg?c=2
000012.jpg,https://i0.wp.com/www.peppersbymail.com/wp-content/uploads/2017/09/20170930_1943351.jpg?fit=2560%2C1536
000013.jpg,https://i.pinimg.com/736x/54/00/d7/5400d73d5254eff2b961401fc8ca6051.jpg
000014.jpg,https://www.chileseeds.co.uk/wp-content/uploads/2018/09/aji-colorado-chilli-seed.jpg
000015.jpg,https://www.peruvian-grocery-shop.com/1226-home_default/dry-whole-colorado-aji-panca-la-latina-peru.jpg
000016.jpg,https://davesgarden.com/guides/pf/thumbnail.php?image=2012/11/28/DanCarmona/7b7f54.jpg&widht=700&height=312
000017.jpg,http://www.okiedokieartichokie.me/wp-content/uploads/2012/04/DSC_0023-edit-resize.jpg
000018.jpg,https://chilli-seedz.com/wp-content/uploads/2015/12/Aji-Colorado-Mix-2-900x900.jpg
000019.jpg,https://www.hydroponics.eu/officinal-medical-vegetables-and-chilli-pepper-seeds/chilli-seeds-bank/aji-colorado-10-x-pepper-seeds~Img_Principale_25315.jpg
000020.jpg,http://cdn.shopify.com/s/files/1/1523/7044/products/AjiColorado_1024x1024.jpg?v=1515384604
000021.jpg,https://seeed.es/images/stories/virtuemart/product/aji%20colorado%202.jpg
000022.jpg,http://www.rocoto.com/oldsite/dried_AA.jpg
000023.jpg,https://www.cookipedia.co.uk/wiki/images/thumb/e/e2/Salsa_de_aji_colorado_Red_pepper_sauce_recipe.jpg/300px-Salsa_de_aji_colorado_Red_pepper_sauce_recipe.jpg
000024.jpg,https://seeed.es/images/stories/virtuemart/product/aji%20colorado%201.jpg
000025.jpg,https://www.seriouseats.com/images/20101230-129678-aji-panca-primary-300x225.jpg
000026.jpg,https://cdn.shopify.com/s/files/1/0220/1512/products/CP_226_-_Aji_Colorado_50ce66a6-a4a1-468d-b10b-8755f94b505d.jpg?v=1540538450
000027.jpg,https://www.seeds-gallery.shop/5770-medium_default/aj%C3%AD-panca-peruvian-chili-seeds-capsicum-baccatum.jpg
000028.jpg,https://www.peruvian-grocery-shop.com/1396/ground-aji-panca-colorado-piki-350g-peruvian-gastronomy.jpg
000029.jpg,https://thumbs.dreamstime.com/z/aji-amarillo-seco-dried-yellow-chili-peppers-mixed-aji-colorado-coloured-chili-peru-73424840.jpg
000030.jpg,https://www.tessgruun.eu/shops/tessgruun/2933544-1.jpg
000031.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Aj%C3%AD_panca.jpg
000032.jpg,https://images-na.ssl-images-amazon.com/images/I/51e9Z0oX-GL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000033.jpg,https://comidaperuana.life/wp-content/uploads/2018/10/aji-panca-molido_700x465.jpg
000034.jpg,https://www.chileplants.com/images/chiles/aji-colorado-pepper-plants.jpg
000035.jpg,https://kcdgarden.com/varieties/288/aji%20orange.jpg?width=730&height=500&mode=crop&format=jpg&quality=65
000036.jpg,https://previews.agefotostock.com/previewimage/medibigoff/df4d3f9a4a0dacc3c0626fe4ed7b489d/sfd-663285.jpg
000037.jpg,http://www.fructusterrum.com/wp-content/uploads/2018/07/aji-panca.jpg
000038.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Capsicum_baccatum_Aji_Colorado_1zz.jpg
000039.jpg,http://scharfundlecker.de/WebRoot/Store16/Shops/72ecc385-2423-4740-a34d-191be29dfbd6/5BC8/CF2B/2C69/D8DC/9C58/0A48/3548/833C/Chili_Samen_Aji_Colorado.jpg
000040.jpg,https://boliviancookbook.files.wordpress.com/2015/03/img_1863.jpg
000041.jpg,http://www.okiedokieartichokie.me/wp-content/uploads/2012/04/DSC_0004-edit-resize(pp_w590_h395).jpg
000042.jpg,https://www.peruvian-grocery-shop.com/1497-tm_thickbox_default/panquita-aji-panca-no-spicy-sibarita-peruvian-cuisine.jpg
000043.jpg,https://www.ethno-botanik.org/fotos/Capsicum-frutescens-1-620x380.jpg
000044.jpg,https://strictlymedicinalseeds.com/wp-content/uploads/2017/07/Pepper_aji_sivn_tray_300.jpg
000045.jpg,https://st.hzcdn.com/fimgs/e052462e04af758d_5039-w500-h888-b0-p0--.jpg
000046.jpg,https://i.ytimg.com/vi/ghMi3IhYQuA/maxresdefault.jpg
000047.jpg,https://i1.wp.com/badskinsgarden.be/wp-content/uploads/2019/06/aji-colorado-1.jpg?fit=810%2C546&ssl=1
000048.jpg,https://chili.tummelsta.se/wp-content/uploads/2017/07/Aji-Colorado-768x576.jpg
000049.jpg,https://media-cdn.tripadvisor.com/media/photo-s/08/ea/de/bf/aji-colorado.jpg
000050.jpg,http://thehotpepper.com/uploads/monthly_08_2017/post-11500-0-65362500-1502897612.png
000051.jpg,https://jansmoestuin.files.wordpress.com/2014/12/aji_colorado_bush_350.jpg
000052.jpg,https://media-cdn.tripadvisor.com/media/photo-s/07/94/79/25/aji-colorado.jpg
000053.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/04/Black-Habanero-Pepper-Plants--300x225.jpg
000054.jpg,http://francosupermercado.com/images/7750702000329.jpg
000055.jpg,https://http2.mlstatic.com/D_NQ_NP_901079-MPE32062890985_092019-V.jpg
