image,source
000001.jpg,https://c1.hiqcdn.com/customcdn/500x500/blog/sites/default/files/images/guntur-chilli-500x500.jpg
000002.jpg,https://www.deccanherald.com/sites/dh/files/styles/article_detail/public/article_images/2016/03/08/533234.jpg?itok=GKVqTxP0
000003.jpg,http://farm2.static.flickr.com/1284/966540044_3f4d51b354.jpg
000004.jpg,https://img1.exportersindia.com/product_images/bc-full/dir_79/2361920/byadgi-dried-stemless-red-chilli-1488346258-2739188.jpeg
000005.jpg,https://2.wlimg.com/product_images/bc-full/2019/2/5659907/byadgi-dried-red-chilli-1551178198-4751076.jpeg
000006.jpg,https://i.ytimg.com/vi/XMY2yUvAACI/maxresdefault.jpg
000007.jpg,https://www.theorganickart.com/wp-content/uploads/2019/08/Byadagi-Chilli.jpg
000008.jpg,https://rukminim1.flixcart.com/image/704/704/jcatwnk0/spice-masala/h/r/q/100-byadagi-chilli-stemless-pouch-origo-fresh-whole-original-imaffgrary7xhv6n.jpeg?q=70
000009.jpg,https://www.shoppingkart24.com/image/cache/catalog/%20Kunapareddy/Byadagi2-500x660.jpg
000010.jpg,https://2.wlimg.com/product_images/bc-small/2019/3/6125354/watermark/byadgi-dabbi-chilli-1551258799-4753597.jpeg
000011.jpg,https://d37ky63zmmmzfj.cloudfront.net/production/itemimages/grocery/masalas_spices/whole_spices/looseitem_chillibyadgi_100gm.jpg
000012.jpg,http://images.jdmagicbox.com/comp/haveri/y9/9999p8375.8375.190122185813.q1y9/catalogue/a2-groups-byadgi-haveri-food-product-manufacturers-1z6wxntgho.jpg
000013.jpg,https://www.happyhealthyme.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/h/h/hhm_edited-8_1.jpg
000014.jpg,http://cdn.shopify.com/s/files/1/0722/2059/products/DEVNUR-DELUXE-CHILLI_grande.jpg?v=1565428587
000015.jpg,https://tiimg.tistatic.com/fp/1/599/byadgi-chilli-296.jpg
000016.jpg,https://2.wlimg.com/product_images/bc-full/2019/1/4570084/byadgi-red-chilli-powder-1547705969-4652321.jpeg
000017.jpg,https://cdn.shopify.com/s/files/1/0245/3785/8100/products/byadgi-chilli-powder-nutrixia_food_grande.jpg?v=1568190157
000018.jpg,https://sc01.alicdn.com/kf/HTB1fhyUafvsK1Rjy0Fiq6zwtXXaJ/Wrinkled-Byadgi-Spices-Herbs-Products-Byadgi-Chilli.jpg_300x300.jpg
000019.jpg,https://imgcdn.scootsy.com/media/itemdetails/2019/Sep/byadgi_chilli_powder_1568014961_600x600.jpg
000020.jpg,https://cdn.shopify.com/s/files/1/0999/8746/products/byadgi_1024x1024.jpg?v=1454165787
000021.jpg,http://www.jjpatil.com/images/byadgi.png
000022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/India_Karnataka_location_map.svg/250px-India_Karnataka_location_map.svg.png
000023.jpg,https://cpimg.tistatic.com/04615889/b/5/Byadgi-Chilli-with-Stem.jpg
000024.jpg,https://pramoda.co.in/wp-content/uploads/2018/12/Chili-powder-324x324.jpg
000025.jpg,https://2.imimg.com/data2/TF/QG/MY-1982656/stemless-byadgi-chili-250x250.jpg
000026.jpg,https://www.bstspices.com/assets/images/byadgi-2043-600x375-600x375.png
