image,source
000001.jpg,https://http2.mlstatic.com/chile-de-arbol-de-yahualica-D_NQ_NP_643115-MLM25837125683_082017-F.jpg
000002.jpg,http://cdn.shopify.com/s/files/1/0148/1945/9126/products/Fq5k7sdhcMN28HGxbYCSgbi01lAbSj6FhZd4BPIG1u_D_B9dIX5owne9sBZeC01HNv376T-S8e8_w615-h615_1200x1200.png?v=1568397333
000003.jpg,https://www.edenbrothers.com/store/media/Seeds-Vegetables/resized/SVPEP158-1_medium.jpg
000004.jpg,https://cdn.shopify.com/s/files/1/0685/2511/products/IMG_0074-RanchoGordo-2_1024x1024.jpg?v=1552339285
000005.jpg,https://elholandespicante.com/shop/wp-content/uploads/2016/11/chiles-de-arbol-2.jpg
000006.jpg,https://www.chedraui.com.mx/medias/2502164-00-CH515Wx515H?context=bWFzdGVyfHJvb3R8MzQ4OTl8aW1hZ2UvanBlZ3xoY2EvaGEwLzg4MDA2NTc3Njg0NzguanBnfDJjNDgzNDEzOGMyM2M4ZTI2Zjc3MDBjNDcwMmJmMWZhOWI4ZTM1M2RjYjVhNDg3M2RjZDFiMjNhODMzZWU3ZGY
000007.jpg,http://salsaspicantes.net/wp-content/uploads/2019/04/chile-de-arbol-seco.jpg
000008.jpg,https://images-na.ssl-images-amazon.com/images/I/51EE2ZGDPJL._SY550_.jpg
000009.jpg,http://diazfarms.com/wp-content/uploads/2016/06/chile_de_arbol-3.jpg
000010.jpg,https://www.fataliiseeds.net/wp-content/uploads/2018/03/de_arbol.jpeg
000011.jpg,http://cdn.shopify.com/s/files/1/0011/2341/8172/products/PP641-3_1024x1024.jpg?v=1523414070
000012.jpg,http://cdn.shopify.com/s/files/1/0038/9405/0868/products/Pepper_Capsicum_ChiliDeArbol_1024x1024.jpg?v=1558711314
000013.jpg,https://images-na.ssl-images-amazon.com/images/I/911ys509kcL._SL1500_.jpg
000014.jpg,https://d1nw62gticy6e9.cloudfront.net/uploads/Chile-de-Arbol-Pepper-Seeds.jpg
000015.jpg,https://www.mexicodesconocido.com.mx/wp-content/uploads/2018/03/chile-de-arbol.jpg
000016.jpg,https://s.yimg.com/aah/mex-grocer/chile-de-arbol-by-el-sol-de-mexico-12.png
000017.jpg,https://www.savoryspiceshop.com/content/mercury_modules/cart/items/2/7/4/2740/ratio6x5-600.jpg
