image,source
000001.jpg,https://www.pepperscale.com/wp-content/uploads/2014/12/chimayo-pepper-1-768x576.jpg
000002.jpg,https://www.adaptiveseeds.com/wp-content/uploads/2014/12/p-7294-hot_pepper_chimayo1.jpg
000003.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/11/ChilesChimayo6-2018-1-600x400.jpg
000004.jpg,https://www.rareseeds.com/assets/1/14/DimRegular/Pepper-Chimayo-LSS-04001.jpg
000005.jpg,https://images-na.ssl-images-amazon.com/images/I/510X-N061gL.jpg
000006.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/Chimayoss2015_1024x1024.jpg?v=1548196239
000007.jpg,https://www.southernexposure.com/images/large/hot-pepper-chimayo_LRG.jpg
000008.jpg,http://cdn.shopify.com/s/files/1/0784/3297/products/Chimayo_Chile_grande.jpg?v=1453153031
000009.jpg,http://www.resilient-seeds.com/uploads/7/1/8/6/7186781/s314285247432477988_p127_i3_w572.jpeg
000010.jpg,https://i.etsystatic.com/9762701/r/il/7f5bb7/1418431571/il_570xN.1418431571_cwut.jpg
000011.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2013/09/Chimayo-Pepper.jpg
000012.jpg,https://www.chileplants.com/images/chiles/chimayo-pepper-plants.jpg
000013.jpg,https://i.ytimg.com/vi/8lL_-cV0Cbo/hqdefault.jpg
000014.jpg,https://cdn1.bigcommerce.com/server700/5mvrqhbm/products/2949/images/144047/chimayo-pepper2__27842.1475552637.1280.1280.jpg?c=2
000015.jpg,https://i.ebayimg.com/images/g/f9UAAOSw3ydVsSTd/s-l400.jpg
000016.jpg,https://assets.simpleviewinc.com/simpleview/image/upload/c_limit,h_445,q_70,w_660/v1/clients/newmexico/Chiles11_9b65560d-aa72-4e43-9455-df9c636bb799.jpg
000017.jpg,https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvdGhpbmdfaW1hZ2VzL2I5M2E1YmMxLTg0ZTktNDY2MC1hNmM3LTRlYTQyZWQ0ZjVmNzc1YmZhODE5MTJiZjU4YzNlN19iZSBzcGljZWQgY2hpbWF5byBwb3dkZXIuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjU4MHg1ODAjIl1d/be%20spiced%20chimayo%20powder.jpg
000018.jpg,https://images-na.ssl-images-amazon.com/images/I/91XzNxD9Z7L._SX425_.jpg
000019.jpg,https://www.chili-shop24.com/media/image/1a/27/54/102159_01_600x600.jpg
000020.jpg,https://jakeseed.com/wp-content/uploads/2018/01/chimayyo-416x312.jpg
000021.jpg,https://static.wixstatic.com/media/190d5b_8d3529a67e1048ac82e1f3b2e0789197~mv2_d_3024_4032_s_4_2.jpg/v1/fill/w_480,h_640,al_c,q_85,usm_0.66_1.00_0.01/190d5b_8d3529a67e1048ac82e1f3b2e0789197~mv2_d_3024_4032_s_4_2.jpg
000022.jpg,https://s3.amazonaws.com/media.farmersmarketinstitute.org/wp-content/uploads/2019/03/11170726/Ristras_Chile_2017_SantaFe_FarmersMarket-1-960x720.jpg
000023.jpg,https://c8.alamy.com/comp/MCJNRD/chimayo-chile-pepper-a-mexican-heirloom-ripe-red-whole-pod-MCJNRD.jpg
