image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/61VGSh2Om9L._SY355_.jpg
000002.jpg,https://images-na.ssl-images-amazon.com/images/I/51WNlinjYhL.jpg
000003.jpg,https://www.pepperscale.com/wp-content/uploads/2015/06/Fresno-Pepper-Substitute_2000-e1433814671617-768x512.jpeg
000004.jpg,https://images-na.ssl-images-amazon.com/images/I/41uMyRhIsIL.jpg
000005.jpg,https://www.cayennediane.com/wp-content/uploads/Fresno-Pepper-3.jpg
000006.jpg,https://images-na.ssl-images-amazon.com/images/I/513YHjrLzpL._SX425_.jpg
000007.jpg,https://www.wegmans.com/content/dam/wegmans/products/228/158228.jpg
000008.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/Fresno_1024x1024.gif?v=1548196246
000009.jpg,https://www.melissas.com/v/vspfiles/photos/1230-2T.jpg
000010.jpg,https://previews.123rf.com/images/flippo/flippo0908/flippo090800027/5391032-a-red-chili-pepper-or-fresno-pepper-on-a-white-background-with-copy-space.jpg
000011.jpg,https://www.chilipeppermadness.com/wp-content/uploads/2013/09/Fresno-Chili-Peppers.jpg
000012.jpg,http://www.specialtyproduce.com/sppics/8101.png
000013.jpg,https://edge.bonnieplants.ca/www/flaming-flare-fresno-chili-pepper.jpg
000014.jpg,https://www.thompson-morgan.com/product_images/100/optimised/CHILL-T77742-A_h.jpg
000015.jpg,https://www.gardenhoard.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/2/0/20180923_101841.jpg
000016.jpg,https://secureservercdn.net/198.71.233.129/px1.bf0.myftpupload.com/wp-content/uploads/2016/02/Fresno-pepper-1-510x771.jpg
000017.jpg,http://www.crystalvalleyfoods.com/wp-content/uploads/2017/06/A-group-of-hot-red-peppers-or-fresno-peppers-1.jpg
000018.jpg,https://previews.123rf.com/images/azazel/azazel1610/azazel161000002/65391789-fresno-chili-pepper-red-yellow-green-fresh.jpg
000019.jpg,https://s7d5.scene7.com/is/image/CentralMarket/000318736-1?$large$&hei=416&wid=416
000020.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/04/Fresno-Pepper-Seeds.jpg
000021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Fresno_pepper_5.jpg/800px-Fresno_pepper_5.jpg
000022.jpg,https://www.edenbrothers.com/store/media/Seeds-Vegetables/resized/SVPEP161-2_medium.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Fresno_pepper_4.jpg
000024.jpg,http://www.johnvenaproduce.com/OCM/imageuploads/red%20fresno%20resized.jpg
000025.jpg,https://www.chileplants.com/images/chiles/fresno-pepper-plants.jpg
000026.jpg,http://better-produce.com/wp-content/uploads/red-fresno-better-produce.jpg
000027.jpg,https://images-na.ssl-images-amazon.com/images/I/71jwf55zFYL._SX355_.jpg
000028.jpg,https://i5.walmartimages.com/asr/6c27e9ad-36cc-4c1a-86c1-10f426b03cdc_1.22b6aef8afb2c3be34c90c8b16b2bf7b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000029.jpg,https://cdn7.dissolve.com/p/D1089_172_995/D1089_172_995_1200.jpg
000030.jpg,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_11baf5b7-295f-4591-ad3a-0091b315b0f5.jpg
000031.jpg,https://az836796.vo.msecnd.net/media/image/product/en/medium/0084321000016.jpg
