image,source
000001.jpg,https://www.pepperseeds.eu/pub/media/catalog/product/cache/b56a9049443cfaeedfe24666b14227c1/b/i/big_jim.jpg
000002.jpg,https://megyeri.cdn.shoprenter.hu/custom/megyeri/image/cache/w900h900wt1/product/Z%C3%B6lds%C3%A9g%20pal%C3%A1nta/paprika/numex_big_jim_orias_chilli.jpg?lastmod=1562758827.1567958905
000003.jpg,https://secureservercdn.net/198.71.233.129/px1.bf0.myftpupload.com/wp-content/uploads/2016/02/Numex-Big-Jim-Chili.jpg?time=1570534232
000004.jpg,https://cdn.shopify.com/s/files/1/0915/1060/products/Big_Jim2.jpg?v=1535124049
000005.jpg,https://www.seeds-gallery.shop/5669-large_default/numex-big-jim-seeds.jpg
000006.jpg,https://seedsnsuch-qb2qm0z.netdna-ssl.com/wp-content/uploads/2018/11/Pep_Big_Jim_cmyk-1.jpg
000007.jpg,https://www.southernexposure.com/images/large/hot-pepper-numex-big-jim_LRG.jpg
000008.jpg,https://www.chili-shop24.com/media/image/3f/d6/f4/9372_NuMexBigJim_600x600.jpg
000009.jpg,https://www.victoriananursery.co.uk/images/800/sq_chilli_pepper_numex_heritage_big_jim_003.jpg
000010.jpg,http://cdn.shopify.com/s/files/1/0679/7951/products/Big-Jim_79031_grande.jpeg?v=1414361886
000011.jpg,https://cdn.shopify.com/s/files/1/0955/4450/products/big_jim1_1024x1024.jpg?v=1546605463
000012.jpg,http://chilifee.de/WebRoot/Store17/Shops/6785a7bf-b9bd-45fa-b711-164bd13875ab/5723/2461/DEE3/6553/C83B/0A48/3549/9E23/Numex_Big_Jim_2.jpg
000013.jpg,https://www.exotic-seeds.store/5670-home_default/numex-big-jim-seeds.jpg
000014.jpg,https://images-na.ssl-images-amazon.com/images/I/51LgXozV63L.jpg
000015.jpg,https://cdn.shopify.com/s/files/1/1523/7044/products/HeritageBigJimRipeInHand2_2_large.jpg?v=1475630375
000016.jpg,https://cdn10.bigcommerce.com/s-2drwt2az/products/1308/images/53199/pepperbigjim__53871.1493261733.500.659.jpg?c=2
000017.jpg,https://www.superhotchiles.com/wp-content/uploads/2018/04/NuMex-Big-Jim-Pepper-plants.jpg
000018.jpg,https://cdn.shopify.com/s/files/1/0200/5036/products/00253-03_740x.jpg?v=1462944750
000019.jpg,https://thehippyseedcompany.com/wp-content/uploads/2017/06/Big-Jim-7.jpg
000020.jpg,https://cdn.webshopapp.com/shops/60827/files/22476933/numex-big-jim.jpg
000021.jpg,https://tbn.bidorbuy.co.za/image/fetch/dpr_1.0,f_auto,t_btbnx/https://cdn.shopify.com/s/files/1/0200/5036/products/00253-01.jpg%3Fv=1462944750
000022.jpg,https://www.gardenhoard.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/2/0/20180923_101855.jpg
000023.jpg,https://cdn11.bigcommerce.com/s-tevsl/images/stencil/500x659/products/862/1512/5482_Neu_Mex_Big_Jim_Pepper__72255.1434985037.jpg?c=2&imbypass=on
000024.jpg,http://www.feldoncentral.com/garden/photos/d/1671-2/NuMex+Big+Jim.jpg
000025.jpg,https://www.premierseedsdirect.com/wp-content/uploads/2017/02/41581751-2-600x800.jpg
000026.jpg,http://www.wildcapsicum.org/wp-content/uploads/2016/07/NuMex-Big-Jim-730x360.jpg
000027.jpg,https://cdn1.bigcommerce.com/server700/5mvrqhbm/products/1917/images/151284/numex_big_jim_pepper_n__03444.1549997748.1280.1280.jpg?c=2
000028.jpg,https://previews.123rf.com/images/maxsol7/maxsol71707/maxsol7170700025/82510338-numex-big-jim-green-chile-peppers-whole-new-mexico-pod-type-capsicum-annuum-clipping-paths.jpg
000029.jpg,https://cdn2.bigcommerce.com/server2000/xbzs5402/products/490/images/3665/Pepper_big_jim_pepper__95670.1432322001.1280.1280.jpg?c=2
000030.jpg,https://croatianseeds-store.com/images/stories/virtuemart/product/NumexBigJim.jpg
000031.jpg,https://i.pinimg.com/474x/65/83/5d/65835d7fb6254f4aa8d037991be175ad--capsicum-annuum-paprika.jpg
000032.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/NuMexBigJimPic_1024x1024.jpg?v=1560291710
000033.jpg,https://www.magicgardenseeds.com/pics/mgs/1164/420/Anaheim-Chili-Pepper-'Big-Jim'-(Capsicum-annuum).jpg?res=high
000034.jpg,https://i.ebayimg.com/images/g/K6MAAOSwp5JWVQRw/s-l400.jpg
000035.jpg,http://www.spicegarden.eu/WebRoot/StoreLES/Shops/62431129/5051/D9BA/BE0F/9577/2891/C0A8/29C3/79EF/chili_big_jim.JPG
000036.jpg,https://www.premierseedsdirect.com/wp-content/uploads/2017/02/Pepper-Hot-Big-Jim.jpg
000037.jpg,https://www.nicholsgardennursery.com/store/avactis-images/PepperNumexBigJim.jpg
000038.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/bigjiminhand_9374f1fa-2be0-4d66-8c55-c5c484e182a4_1024x1024.jpg?v=1548196299
000039.jpg,https://i.ytimg.com/vi/vTDV88ldgsM/maxresdefault.jpg
000040.jpg,https://previews.123rf.com/images/maxsol7/maxsol71708/maxsol7170800025/83551758-numex-big-jim-green-chile-peppers-whole-new-mexico-pod-type-capsicum-annuum-clipping-paths-shadow-se.jpg
000041.jpg,https://www.hazzardsgreenhouse.com/Merchant2/graphics/00000015/P6812.jpg
000042.jpg,https://wildcapsicum.org/wp-content/uploads/2016/07/NuMex-Big-Jim.jpg
000043.jpg,https://i5.walmartimages.com/asr/e1733021-7986-4d87-bb89-ee3dcb12e8e5_1.b604c88f58df9b97d998b975bf373ec2.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000044.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/C_annuum_big_jim_fruits.jpg
000045.jpg,https://cdn11.bigcommerce.com/s-cg0adf/images/stencil/1280x1280/products/669/1233/Big_Jim__87813.1448473377.gif?c=2&imbypass=on
000046.jpg,https://i1.wp.com/durandtsheirloomseeds.co.za/wp-content/uploads/2018/04/Numex_big_jim.jpg?fit=500%2C564
000047.jpg,https://www.piedmontfarmandgarden.com/v/vspfiles/photos/PPP023-2.jpg?v-cache=1366092667
000048.jpg,https://images-na.ssl-images-amazon.com/images/I/51-SLAB-1GL._AC_SY400_.jpg
000049.jpg,https://vignette.wikia.nocookie.net/gardener/images/d/d1/Chilli_NuMex_big_jim.jpg/revision/latest?cb=20101002165620
000050.jpg,https://chilli-seedz.com/wp-content/uploads/2017/08/P1010421-Edit-Edit-Edit-2.jpg
000051.jpg,https://www.pepperworldhotshop.com/out/pictures/master/product/1/numexbigjimpflanze_pj114.jpg
000052.jpg,https://www.westwindseeds.com/v/vspfiles/photos/peph-050-2.jpg
000053.jpg,https://garden.org/pics/2013-10-04/Paul2032/20eaef.jpg
000054.jpg,https://cdn.shopify.com/s/files/1/0076/4107/1714/products/db886943b66da4247e436a4d13f81ad0_d6251fbc-f1d0-4767-9927-489f9d7daa58_1024x1024@2x.jpg?v=1541114795
000055.jpg,http://www.michis-tomatensamen.de/WebRoot/Store18/Shops/61597262/4830/4496/1A23/0FC5/0207/C0A8/28BD/8F2D/peppernumexbigjimsteffi.jpg
000056.jpg,https://cdn.shopify.com/s/files/1/1523/7044/products/HeritageBigJimRipeInHand_large.jpg?v=1475896476
000057.jpg,https://i.etsystatic.com/11929338/r/il/120437/982274608/il_794xN.982274608_fp1r.jpg
000058.jpg,https://www.pepperscale.com/wp-content/uploads/2017/10/numex-big-jim-768x512.jpg
000059.jpg,https://thumbs.dreamstime.com/z/numex-big-jim-green-chile-path-pepper-whole-new-mexico-pod-type-capsicum-annuum-clipping-96823082.jpg
000060.jpg,https://i.ebayimg.com/images/g/YTwAAOSwYxBaHyJk/s-l300.jpg
000061.jpg,https://image.shutterstock.com/image-photo/fresh-red-numex-big-jim-600w-753684976.jpg
000062.jpg,https://cdn.shopify.com/s/files/1/1095/8052/products/Pepper_NuMex_Big_Jim.jpg?v=1544140228
000063.jpg,https://ae01.alicdn.com/kf/HTB1zZSvXe6sK1RjSsrbq6xbDXXa3/Super-Numex-Big-Jim-Chili-Pepper-Bonsai-organik-Numex-Pepper-Pot-Tanaman-100-Pcs-Sayuran-Pemenang.jpg_640x640.jpg
000064.jpg,https://previews.123rf.com/images/maxsol7/maxsol71707/maxsol7170700024/82510332-numex-big-jim-green-chile-peppers-whole-new-mexico-pod-type-capsicum-annuum-clipping-paths.jpg
000065.jpg,https://i.pinimg.com/originals/1d/bf/e8/1dbfe840beed2b2faee94d643e0553f6.jpg
000066.jpg,https://c8.alamy.com/comp/JR5MTX/numex-big-jim-green-chile-peppers-whole-new-mexico-pod-type-capsicum-JR5MTX.jpg
000067.jpg,https://http2.mlstatic.com/sementes-numex-big-jim-pimenta-gigante-guinness-frete-gratis-D_NQ_NP_777515-MLB25255693175_122016-F.jpg
000068.jpg,https://davesgarden.com/guides/pf/thumbnail.php?image=2004/07/25/Terry/1b16d2.jpg&widht=700&height=312
000069.jpg,https://live.staticflickr.com/4030/4477490654_45280d1e46_b.jpg
000070.jpg,https://c8.alamy.com/comp/JT5JF3/numex-big-jim-green-chile-peppers-whole-new-mexico-pod-type-capsicum-JT5JF3.jpg
000071.jpg,https://www.odlingsklubben.se/wp-content/uploads/2016/12/Numex_Big_Jim_-5.jpg
000072.jpg,http://shop.urlmuellers.at/WebRoot/Store/Shops/es108527_urlmuellers_shop/493D/69D4/5CD7/4342/86CB/50ED/8961/A82B/24_m.JPG
000073.jpg,https://www.seeds-gallery.shop/5671-home_default/sporoi-piperia-numex-big-jim.jpg
000074.jpg,https://www.cayennediane.com/wp-content/uploads/2018/08/NuMex-Big-Jim-1.jpg
000075.jpg,https://livingseeds.co.za/image-smp/numex-big-jimcontainer-gardening_10099_500x500.jpg
000076.jpg,https://st3.depositphotos.com/3147771/16265/i/1600/depositphotos_162655684-stock-photo-numex-big-jim-slices-paths.jpg
000077.jpg,https://www.wildcapsicum.org/wp-content/uploads/2016/07/NuMex-Big-Jim-Chili.jpg
000078.jpg,https://www.chili-seminka.cz/1880-large_default/numex-big-jim-semena.jpg
000079.jpg,https://www.chilibaron.ch/images/stories/virtuemart/product/big_jim.jpg
000080.jpg,https://www.legrainier.com/wp-content/uploads/PIM29165.jpg
000081.jpg,https://admin.marketwagon.com/uploads/153118406220180709_185603.jpg
000082.jpg,https://media.istockphoto.com/photos/numex-big-jim-green-chile-path-picture-id823379458
000083.jpg,https://www.soflor.com.br/wp-content/uploads/2014/02/sementes-de-pimenta-big-jim-numex-5803-e1495811511229.jpg
000084.jpg,https://image.shutterstock.com/image-photo/numex-big-jim-green-chile-600w-689948704.jpg
000085.jpg,https://media.gettyimages.com/photos/ripening-giant-chilli-numex-big-jim-pepper-which-can-grow-to-twelve-picture-id129288479
000086.jpg,https://cdn.shopify.com/s/files/1/1420/8798/products/pepper-hot-numex-big-jim-capsicum-annuum-seeds-amkha-seed_415.jpg?v=1535012309
000087.jpg,https://static.wixstatic.com/media/f1c6cd_3f0e15b48ceb4fa581bfb0de07aacde1~mv2_d_3120_4160_s_4_2.jpg/v1/fill/w_996,h_1330,al_c,q_85,usm_0.66_1.00_0.01/f1c6cd_3f0e15b48ceb4fa581bfb0de07aacde1~mv2_d_3120_4160_s_4_2.jpg
000088.jpg,https://garden.org/pics/2013-10-04/Paul2032/f72642.jpg
000089.jpg,https://cdn.shopify.com/s/files/1/0871/0950/products/Wyoming-Hatch-Chiles_bd9a5e3a-117a-45cf-acd3-82229a38ab5c_1024x1024.jpg?v=1548196301
000090.jpg,https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/3004680/300/200/m1/fpnw/wm0/badge-.jpg?1500629955&s=43372887a6a841ff3bc89d3bf5ad5c6a
000091.jpg,http://www.skinareus.com/eBay%20Seeds/images%203/numex%20pepper%202%20m.jpg
000092.jpg,http://chili-pepper.com.ua/image/cache/catalog/Tovary/semena/numex_big_jim-500x500.jpg
